"","year","state_abb","district","total_votes","dem","other","rep","difference","sample_size","sample_size_2_percent","sample_size_4_percent","sample_size_6_percent","sample_size_8_percent","margin","sample_size_winning_margin"
"1",2018,"AK","AK-01",282166,0.465,0.004,0.531,43.56,20.1245539394887,2371.28451177922,592.821127944806,268.176157969113,150.849088857626,0.066,55.4082971010564
"2",2018,"AZ","AZ-01",266089,0.538,0,0.461,59.29,20.079754535015,2381.87733447729,595.469333619322,269.374134204822,151.522950490212,0.077,40.8899849526631
"3",2018,"AR","AR-02",253453,0.458,0.02,0.521,39.69,20.4714403069567,2291.60305219098,572.900763047744,259.164726575031,145.780158698455,0.063,58.7675116950184
"4",2018,"CA","CA-04",340654,0.459,0,0.541,67.24,20.0675810026087,2384.76803223986,596.192008059965,269.701052470414,151.706842014608,0.082,36.0991890576104
"5",2018,"CA","CA-10",221900,0.523,0,0.477,21.16,20.0211936402442,2395.83143364346,598.957858410865,270.95224795866,152.410639476746,0.046,115.244339868995
"6",2018,"CA","CA-21",113616,0.504,0,0.496,0.640000000000001,20.0006400307216,2400.758104581,600.18952614525,271.50942094952,152.724049284105,0.00800000000000001,3818.10123210262
"7",2018,"CA","CA-22",222379,0.473,0,0.527,29.1600000000001,20.0292239282846,2393.91070423311,598.477676058278,270.735026519729,152.288452417347,0.054,83.5601933702865
"8",2018,"CA","CA-25",245022,0.544,0,0.456,77.44,20.0778926938511,2382.31910224167,595.579775560417,269.424095135776,151.551053513874,0.088,31.3122011392301
"9",2018,"CA","CA-39",244393,0.516,0,0.484,10.24,20.0102478710369,2398.45322928858,599.613307322146,271.248755222802,152.577424812826,0.032,238.402226270041
"10",2018,"CA","CA-45",305289,0.521,0,0.479,17.64,20.0176633720795,2396.67655458401,599.169138646003,271.04782539179,152.464401782882,0.042,138.289706832546
"11",2018,"CA","CA-48",294736,0.536,0,0.464,51.84,20.052042428601,2388.46543635478,597.116359088695,270.119203740357,151.942052103951,0.072,46.895695093812
"12",2018,"CA","CA-50",259810,0.483,0,0.517,11.56,20.0115700321848,2398.13630893588,599.534077233969,271.212913685378,152.557263948025,0.034,211.151922419412
"13",2018,"CO","CO-03",336201,0.436,0.049,0.515,62.41,21.1034345046836,2156.40290899665,539.100727249162,243.874509488628,137.179411587353,0.079,35.1685721102012
"14",2018,"FL","FL-15",285532,0.47,0,0.53,36.0000000000001,20.0360974925215,2392.26848058727,598.067120146816,270.549302189442,152.183982481561,0.0600000000000001,67.6373255473604
"15",2018,"FL","FL-18",342359,0.457,0,0.543,73.96,20.0743728011384,2383.15461953517,595.788654883792,269.518586461711,151.604204884713,0.086,32.7970156592131
"16",2018,"FL","FL-26",235475,0.509,0,0.491,3.24000000000001,20.0032407875326,2400.13386752264,600.033466880659,271.438823981867,152.6843384898,0.018,753.996733282964
"17",2018,"FL","FL-27",252586,0.518,0.025,0.458,36,20.530634956701,2278.40764114189,569.601910285473,257.67241528957,144.940733600383,0.06,64.4181038223926
"18",2018,"GA","GA-06",317032,0.505,0,0.495,1,20.0010000750062,2400.67167175753,600.167917939383,271.499645984768,152.718550866432,0.01,2443.49681386291
"19",2018,"GA","GA-07",280453,0.499,0,0.501,0.0400000000000001,20.00004000012,2400.90215928678,600.225539821694,271.52571255744,152.73321331356,0.002,61093.2853254239
"20",2018,"IL","IL-06",315446,0.536,0,0.464,51.84,20.052042428601,2388.46543635478,597.116359088695,270.119203740357,151.942052103951,0.072,46.895695093812
